Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3xCsHloPBl211Yi4UEUUcm,"Pool","After Laughter","Paramore",2017-05-12,232786,58,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:30:58Z,"pop punk,emo","Fueled By Ramen",0.589,0.777,0,-5.386,1,0.0369,0.00629,0.0165,0.123,0.572,114.867,4
spotify:track:6t44iU80A0h8WQ7vc4OoRj,"Fake Happy","After Laughter","Paramore",2017-05-12,235706,60,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:31:04Z,"pop punk,emo","Fueled By Ramen",0.734,0.626,7,-5.685,1,0.0458,0.076,0.00000654,0.168,0.44,98.559,4
spotify:track:3mzV0WDATjcpzcTNK2TLJw,"Looking Up","Brand New Eyes","Paramore",2009-09-25,209426,52,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:31:17Z,"pop punk,emo","Fueled By Ramen",0.416,0.98,4,-2.175,1,0.108,0.000125,0,0.332,0.612,195.972,4
spotify:track:1a9YW7fATU351ok4zWjU7a,"Brick by Boring Brick","Brand New Eyes","Paramore",2009-09-25,253946,68,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:31:22Z,"pop punk,emo","Fueled By Ramen",0.436,0.942,9,-2.206,1,0.0496,0.0000956,0.000438,0.209,0.5,164.975,4
spotify:track:2hUFjIbpKaRqs97OjUAmXb,"Johnny Boy","Twenty One Pilots","Twenty One Pilots",2009-12-29,279053,1,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:31:27Z,"","Twenty One Pilots",0.561,0.841,0,-4.311,1,0.0515,0.00525,0.0000453,0.24,0.356,114.943,4
spotify:track:1dUU2RYiMZ9HCk6CB9Akup,"City Of Angels","LOVE LUST FAITH + DREAMS","Thirty Seconds To Mars",2013-05-17,302040,53,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:31:36Z,"","Virgin (VIR)",0.575,0.795,2,-6.149,1,0.0357,0.0787,0.0000262,0.086,0.149,105.015,4
spotify:track:04PuISvOTwat3nC44BrwRR,"Step Right Up","Lonely Road","The Red Jumpsuit Apparatus",2009-01-01,227800,34,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:31:49Z,"pop punk,emo","Virgin Records",0.531,0.933,10,-4.199,1,0.0536,0.0118,0,0.287,0.727,126.995,4
spotify:track:1pcL2LXuaO01180QkIxkSG,"Right Where You Want Me to Be","Attack of the Killer B-Sides","A Day To Remember",2011-10-01,222653,0,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:31:59Z,"metalcore,post-hardcore,pop punk,screamo,emo","Victory",0.343,0.947,10,-4.098,1,0.0557,0.0000415,0,0.134,0.462,84.953,4
spotify:track:1BR5vhAlaoUiijQ28p6jlN,"Backseat Freestyle","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar",2012-10-22,212653,59,true,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:32:10Z,"hip hop,west coast hip hop","Aftermath",0.547,0.651,1,-7.601,1,0.3,0.000739,0,0.235,0.645,77.878,4
spotify:track:4rhv5nnyAdhjvqRB8s9xr7,"Fall","YOU","James Arthur",2019-10-18,223472,45,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:32:28Z,"soft pop","Columbia Local",0.235,0.434,4,-8.245,1,0.032,0.831,0.00000118,0.168,0.232,82.67,4
